1,727613.188,9677929.526,2552.000,pt
2,727613.188,9677902.242,2552.000,pt
3,727635.508,9677963.809,2553.000,pt
4,727625.699,9677902.611,2553.000,pt
5,727613.188,9677876.131,2553.000,pt
6,727652.735,9678017.137,2554.000,pt
7,727651.906,9677974.724,2554.000,pt
8,727640.287,9677909.505,2554.000,pt
9,727632.454,9677886.199,2554.000,pt
10,727613.188,9677861.074,2554.000,pt
11,727665.475,9678029.675,2556.000,pt
12,727667.291,9677998.976,2556.000,pt
13,727657.235,9677896.139,2556.000,pt
14,727641.737,9677863.688,2556.000,pt
15,727613.188,9677839.116,2556.000,pt
16,727671.844,9678035.944,2557.000,pt
17,727674.465,9678004.630,2557.000,pt
18,727658.970,9677873.813,2557.000,pt
19,727616.659,9677832.721,2557.000,pt
20,727678.214,9678042.214,2558.000,pt
21,727681.640,9678010.284,2558.000,pt
22,727667.823,9677875.057,2558.000,pt
23,727665.428,9677866.317,2558.000,pt
24,727624.972,9677832.721,2558.000,pt
25,727684.583,9678048.483,2559.000,pt
26,727688.233,9678015.920,2559.000,pt
27,727676.675,9677876.302,2559.000,pt
28,727673.606,9677864.832,2559.000,pt
29,727633.286,9677832.721,2559.000,pt
30,727687.101,9677858.916,2561.000,pt
31,727649.913,9677832.721,2561.000,pt
32,727694.377,9678058.121,2561.000,pt
33,727700.065,9678032.496,2561.000,pt
34,727692.877,9677951.910,2561.000,pt
35,727694.302,9677876.181,2561.000,pt
36,727687.101,9677850.797,2562.000,pt
37,727661.376,9677832.721,2562.000,pt
38,727698.910,9678062.584,2562.000,pt
39,727706.237,9678037.246,2562.000,pt
40,727697.182,9677936.123,2562.000,pt
41,727700.045,9677881.834,2562.000,pt
42,727687.101,9677842.679,2563.000,pt
43,727672.930,9677832.721,2563.000,pt
44,727703.444,9678067.046,2563.000,pt
45,727712.409,9678041.995,2563.000,pt
46,727701.991,9677938.593,2563.000,pt
47,727705.789,9677887.487,2563.000,pt
48,727687.101,9677834.560,2564.000,pt
49,727684.483,9677832.721,2564.000,pt
50,727707.978,9678071.508,2564.000,pt
51,727718.126,9678040.524,2564.000,pt
52,727706.800,9677941.063,2564.000,pt
53,727711.533,9677893.140,2564.000,pt
54,727717.046,9678080.432,2566.000,pt
55,727729.148,9678049.124,2566.000,pt
56,727716.419,9677946.004,2566.000,pt
57,727723.020,9677904.446,2566.000,pt
58,727721.579,9678084.895,2567.000,pt
59,727733.589,9678045.367,2567.000,pt
60,727718.777,9677946.362,2567.000,pt
61,727724.058,9677918.092,2567.000,pt
62,727727.062,9678087.334,2568.000,pt
63,727739.011,9678053.709,2568.000,pt
64,727724.058,9677933.501,2568.000,pt
65,727733.687,9678087.334,2569.000,pt
66,727741.071,9678069.131,2569.000,pt
67,727743.364,9678036.693,2569.000,pt
68,727738.842,9677975.030,2569.000,pt
69,727729.605,9677947.301,2569.000,pt
70,727746.938,9678087.334,2571.000,pt
71,727753.424,9678056.359,2571.000,pt
72,727753.792,9677971.106,2571.000,pt
73,727753.564,9678087.334,2572.000,pt
74,727762.763,9677979.936,2572.000,pt
75,727760.189,9678087.334,2573.000,pt
76,727767.106,9677984.209,2573.000,pt
77,727766.374,9678087.334,2574.000,pt
78,727771.448,9677988.483,2574.000,pt
79,727778.617,9678087.334,2576.000,pt
80,727780.132,9677997.030,2576.000,pt
81,727784.738,9678087.334,2577.000,pt
82,727784.475,9678001.304,2577.000,pt
83,727790.860,9678087.334,2578.000,pt
84,727788.817,9678005.578,2578.000,pt
85,727796.982,9678087.334,2579.000,pt
86,727793.159,9678009.851,2579.000,pt
87,727806.789,9678087.334,2581.000,pt
88,727802.556,9678014.587,2581.000,pt
89,727811.586,9678087.334,2582.000,pt
90,727807.698,9678014.587,2582.000,pt
91,728093.624,9677974.318,2582.000,pt
92,728091.665,9677978.214,2582.000,pt
93,727816.383,9678087.334,2583.000,pt
94,727812.839,9678014.587,2583.000,pt
95,728093.624,9677963.434,2583.000,pt
96,728086.194,9677978.214,2583.000,pt
97,727821.180,9678087.334,2584.000,pt
98,727823.896,9678048.691,2584.000,pt
99,727817.981,9678014.587,2584.000,pt
100,728093.624,9677952.550,2584.000,pt
101,728080.723,9677978.214,2584.000,pt
102,727830.774,9678087.334,2586.000,pt
103,727836.028,9678050.039,2586.000,pt
104,727828.263,9678014.587,2586.000,pt
105,728088.406,9677941.841,2586.000,pt
106,728069.781,9677978.214,2586.000,pt
107,727835.573,9678087.334,2587.000,pt
108,727842.297,9678051.985,2587.000,pt
109,727833.405,9678014.587,2587.000,pt
110,728083.272,9677941.841,2587.000,pt
111,728064.310,9677978.214,2587.000,pt
112,727840.393,9678087.334,2588.000,pt
113,727848.265,9678052.815,2588.000,pt
114,727840.348,9678014.587,2588.000,pt
115,728056.667,9677997.759,2588.000,pt
116,728054.402,9678014.587,2588.000,pt
117,728078.138,9677941.841,2588.000,pt
118,728058.839,9677978.214,2588.000,pt
119,727845.212,9678087.334,2589.000,pt
120,727854.234,9678053.644,2589.000,pt
121,727848.049,9678014.587,2589.000,pt
122,728073.003,9677941.841,2589.000,pt
123,728055.529,9677973.325,2589.000,pt
124,728047.773,9678014.587,2589.000,pt
125,727854.851,9678087.334,2591.000,pt
126,727868.218,9678050.044,2591.000,pt
127,727863.452,9678014.587,2591.000,pt
128,728062.734,9677941.841,2591.000,pt
129,728046.937,9677965.571,2591.000,pt
130,728034.517,9678014.587,2591.000,pt
131,727859.671,9678087.334,2592.000,pt
132,727876.173,9678044.917,2592.000,pt
133,727871.153,9678014.587,2592.000,pt
134,728057.600,9677941.841,2592.000,pt
135,728038.322,9677972.620,2592.000,pt
136,728027.889,9678014.587,2592.000,pt
137,727864.490,9678087.334,2593.000,pt
138,727887.894,9678046.168,2593.000,pt
139,727883.548,9678014.587,2593.000,pt
140,728052.122,9677937.368,2593.000,pt
141,728036.931,9677958.216,2593.000,pt
142,728021.261,9678014.587,2593.000,pt
143,727869.310,9678087.334,2594.000,pt
144,727899.878,9678048.910,2594.000,pt
145,727896.437,9678014.587,2594.000,pt
146,728046.569,9677931.902,2594.000,pt
147,728030.101,9677956.242,2594.000,pt
148,728015.473,9678010.081,2594.000,pt
149,728017.303,9678050.961,2594.000,pt
150,727881.776,9678087.334,2596.000,pt
151,727918.471,9678050.385,2596.000,pt
152,727926.433,9678014.587,2596.000,pt
153,728004.979,9677978.214,2596.000,pt
154,727995.304,9678012.755,2596.000,pt
155,728003.975,9678050.961,2596.000,pt
156,728035.462,9677920.970,2596.000,pt
157,728019.710,9677939.089,2596.000,pt
158,727888.525,9678087.334,2597.000,pt
159,727930.843,9678047.876,2597.000,pt
160,727943.388,9678014.587,2597.000,pt
161,727992.740,9677978.214,2597.000,pt
162,727986.183,9678009.170,2597.000,pt
163,727997.311,9678050.961,2597.000,pt
164,728029.909,9677915.505,2597.000,pt
165,728019.710,9677927.235,2597.000,pt
166,727895.273,9678087.334,2598.000,pt
167,727945.812,9678039.784,2598.000,pt
168,727963.093,9678031.711,2598.000,pt
169,727978.467,9678028.629,2598.000,pt
170,727990.648,9678050.961,2598.000,pt
171,728019.710,9677915.382,2598.000,pt
172,728024.355,9677910.039,2598.000,pt
173,727902.021,9678087.334,2599.000,pt
174,727948.268,9678056.902,2599.000,pt
175,727983.984,9678050.961,2599.000,pt
176,727921.885,9678087.334,2601.000,pt
177,727944.135,9678073.462,2601.000,pt
178,727981.407,9678087.334,2601.000,pt
179,727935.067,9678087.334,2602.000,pt
180,727948.247,9678082.482,2602.000,pt
181,727961.776,9678087.334,2602.000,pt
182,727659.105,9678023.406,2555.000,pt
183,727649.698,9677895.580,2555.000,pt
184,727613.188,9677850.095,2555.000,pt
185,727712.512,9678075.970,2565.000,pt
186,727724.462,9678051.666,2565.000,pt
187,727711.610,9677943.534,2565.000,pt
188,727717.276,9677898.793,2565.000,pt
189,727772.495,9678087.334,2575.000,pt
190,727775.790,9677992.757,2575.000,pt
191,727825.977,9678087.334,2585.000,pt
192,727828.622,9678040.734,2585.000,pt
193,727823.122,9678014.587,2585.000,pt
194,728093.541,9677941.841,2585.000,pt
195,728075.252,9677978.214,2585.000,pt
196,727875.028,9678087.334,2595.000,pt
197,727888.971,9678067.508,2595.000,pt
198,727910.048,9678051.938,2595.000,pt
199,727909.478,9678014.587,2595.000,pt
200,728017.218,9677978.214,2595.000,pt
201,728004.424,9678016.339,2595.000,pt
202,728010.639,9678050.961,2595.000,pt
203,728041.016,9677926.436,2595.000,pt
204,728026.811,9677942.598,2595.000,pt
205,728019.710,9677970.590,2595.000,pt
206,727687.101,9677867.035,2560.000,pt
207,727641.599,9677832.721,2560.000,pt
208,727689.843,9678053.659,2560.000,pt
209,727694.073,9678022.638,2560.000,pt
210,727688.187,9677967.524,2560.000,pt
211,727688.558,9677870.528,2560.000,pt
212,727740.313,9678087.334,2570.000,pt
213,727748.620,9678055.476,2570.000,pt
214,727746.980,9677978.664,2570.000,pt
215,727741.699,9677959.203,2570.000,pt
216,727801.992,9678087.334,2580.000,pt
217,727797.501,9678014.125,2580.000,pt
218,727850.032,9678087.334,2590.000,pt
219,727861.348,9678048.328,2590.000,pt
220,727855.750,9678014.587,2590.000,pt
221,728067.869,9677941.841,2590.000,pt
222,728050.675,9677970.428,2590.000,pt
223,728041.145,9678014.587,2590.000,pt
224,727908.770,9678087.334,2600.000,pt
225,727948.769,9678069.856,2600.000,pt
226,727971.427,9678072.307,2600.000,pt
227,727982.754,9678067.940,2600.000,pt
